"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Manoj R.; Nandhini G.","Manoj, Rishi (58124323300); Nandhini, G. (59511665300)","58124323300; 59511665300","A Comprehensive Investigation on Leveraging Generative AI and Large Language Models in the Healthcare Domain","2024","IEEE Region 10 Humanitarian Technology Conference, R10-HTC","","","","","","","0","10.1109/R10-HTC59322.2024.10778845","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214845011&doi=10.1109%2fR10-HTC59322.2024.10778845&partnerID=40&md5=c0aa29cc0fe090a2a6c4251c4d65dd06","The launch and adoption of Generative Pre-Trained Transformers (GPT) based AI has been very rapid compared to any other technological adoption seen in the past. In these times of the rapid evolution and advancement of Large Language Models (LLMs) and Generative Artificial Intelligence (GenAI), measuring and reviewing the impact it has made on the industry, especially the healthcare domain, becomes very important. Since the healthcare sector is one of the early adopters of novel technologies in the industry, the penetration of LLMs and GenAI has been predominant in the sector. In this paper, we are understanding and analysing the impacts of this novel technology in the healthcare sector, categorised under different domains such as Education, Medical Information Management, Telemedicine and Telehealth, Health Record Management, Health Data Research, Mental Health Care and Personal Health Planning. Additionally, the use of LLM and GenAI in the healthcare domain raises some critical ethical concerns as well. This paper tries to investigate the potential applications and ethical challenges of GenAI and Large Language Models (LLMs) within the healthcare domain.  © 2024 IEEE.","Generative Artificial Intelligence; Generative Pre-Trained Transformers; Health Data Research; Health Record Management; Large Language Models; Medical Information Management; Mental Health Care; Personal Health Planning; Telemedicine and Telehealth","Distribution transformers; Generative adversarial networks; Medical informatics; Records management; Telemedicine; Generative artificial intelligence; Generative pre-trained transformer; Health data; Health data research; Health planning; Health record management; Health records; Language model; Large language model; Medical information management; Mental health; Mental health care; Personal health; Personal health planning; Record management; Telehealth; Telemedicine and telehealth; Electronic health record","Conference paper","Final","","Scopus","2-s2.0-85214845011"
"Contini F.","Contini, Francesco (56128793700)","56128793700","Unboxing Generative AI for the Legal Professions: Functions, Impacts and Governance","2024","International Journal for Court Administration","15","2","","1","22","21","1","10.36745/ijca.604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203261307&doi=10.36745%2fijca.604&partnerID=40&md5=e6613c2590c7f9af884bab67fd2191d4","The paper delves into the early impacts of generative AI (GenAI) on the legal sector, its implications for the activity systems of judges, lawyers and litigants, and the values underpinning the administration of justice. Literature analysis is complemented by a survey of the functions GenAI systems offer to law firms, judges and citizens, as well as by assessing the guidelines for the proper use of such technologies in the legal domain. The paper underscores how GenAI is becoming pervasive through specialized applications and its integration into everyday office tools. Such a rapid proliferation of applications has revealed that several of the principles suggested by the guidelines are inadequate in managing GenAI usage and assigning responsibilities to the providers. Users are ultimately responsible and must fully understand and accept the consequences of their use. Therefore, when interacting with GenAI in the legal business, comprehending the systems’ technological features and functioning, including their limitations and potential pitfalls, is the primary safeguard now available. The finding underscores the need for human empowerment to prevent an uncontrolled proliferation of GenAI in the legal business, thereby stressing the importance of human oversight in using AI. © 2024 The Author(s). This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International License (CC-BY 4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. See http://creativecommons.org/licenses/by/4.0/.","Courts; Digital Transformation; Generative Artificial Intelligence; Judges; Judicial Administration; Lawyers; Legal Tech; Technology Governance","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85203261307"
"Vadhil F.A.; Nanne M.F.; Salihi M.L.","Vadhil, Fatimetou Abdou (57893867600); Nanne, Mohamedade Farouk (57194192142); Salihi, Mohamed Lemine (6505732334)","57893867600; 57194192142; 6505732334","The Powerful AI: An Exploration of Generative Artificial Intelligence Taxonomy and Applications","2024","Lecture Notes in Networks and Systems","862 LNNS","","","236","250","14","0","10.1007/978-3-031-71429-0_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213383421&doi=10.1007%2f978-3-031-71429-0_18&partnerID=40&md5=b55c0303a519afdd450a3360a068cc6b","The advent of Generative Artificial Intelligence models, exemplified by prominent examples like ChatGPT and others, has ushered in a transformative era over the last two years. These expansive models showcase impressive abilities, spanning from broad inquiry responses to the crafting of imaginative visuals, completely transforming numerous fields. The ramifications for both the economy and community are significant, possibly altering diverse employment roles. Generative AI highlights versatility in tasks such as text to text, text to image including 2D and 3D images, image to text, text to video, text to audio, text to code … etc. As the influence of generative AI expands, research endeavours have emerged to comprehend its fundamental aspects. This review paper underscore the widespread of the models and the major categories of AI generative taxonomies by citing the most popular developed applications. Furthermore, several opportunities, challenges and recommendations for future applications are presented. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Context-based Generation; Generative AI models; Generative Artificial Intelligence (AI); Transformers","Distribution transformers; 2D images; 3-D image; 3D-images; Community IS; Context-based; Context-based generation; Generative artificial intelligence; Generative artificial intelligence model; Intelligence models; Transformer; Generative adversarial networks","Conference paper","Final","","Scopus","2-s2.0-85213383421"
"Androniceanu A.","Androniceanu, Armenia (35253283800)","35253283800","Generative artificial intelligence, present and perspectives in public administration","2024","Administratie si Management Public","2024","43","","105","119","14","0","10.24818/amp/2024.43-06","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211337516&doi=10.24818%2famp%2f2024.43-06&partnerID=40&md5=23364fee73e89d85d3914a3865c6e271","Artificial Intelligence (AI) is playing an increasingly important role in public administration, offering innovative solutions for efficiency and better public services. The application of AI in public administration aims to modernise and streamline the services offered to citizens. AI contains advanced algorithms, neural networks, and machine learning techniques to improve performance and efficiency over time. Smart algorithms, responsibly implemented, could help governments enhance service delivery and strengthen citizen engagement in local, city, regional, and national administrations around the world. Governments in some states have discreetly launched pilot programs to test developing AI applications, demonstrating an enthusiasm for technology at least as great as that in the private sector. By utilising AI, public administrations can automate repetitive processes, optimize resource usage, and improve interaction with the public. The purpose of the research is to show the extent and scope that AI tools integrated into organisations have in almost all areas of the public and private sectors in general, and state administrations in particular. The research objectives were: to analyse the dynamics of investments in AI tools; to discover the main services in state administrations that can be better performed using AI; to analyse the risks; and to highlight the perspective of development and integration of AI in public administrations of a few European states. The research is based on a comparative analysis of the implementation of AI tools across fields, components, and regions at the European level mainly, but also for Romania. The analysis period is 2021-2030. The results show a continuously increasing trend and an ever-faster rate of assimilation of AI tools in the field of public administration in an increasing number of states from most developed regions worldwide. © 2024, Bucharest University of Economic Studies Publishing House. All rights reserved.","artificial intelligence; generative artificial intelligence; public administration, public services","","Article","Final","","Scopus","2-s2.0-85211337516"
"Fosso Wamba S.; Queiroz M.M.; Chiappetta Jabbour C.J.; Shi C.V.","Fosso Wamba, Samuel (14833520200); Queiroz, Maciel M. (56370773200); Chiappetta Jabbour, Charbel Jose (15757819200); Shi, Chunming (Victor) (36729555300)","14833520200; 56370773200; 15757819200; 36729555300","Are both generative AI and ChatGPT game changers for 21st-Century operations and supply chain excellence?","2023","International Journal of Production Economics","265","","109015","","","","77","10.1016/j.ijpe.2023.109015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168809450&doi=10.1016%2fj.ijpe.2023.109015&partnerID=40&md5=a749000de5c2e473d2c6b5a9050eed17","The remarkable growth of ChatGPT, a Generative Artificial Intelligence (Gen-AI), has triggered a significant debate in society. It has the potential to radically transform the business landscape, with consequences for operations and supply chain management (O&SCM). However, empirical evidence on Gen-AI's effects in O&SCM remains limited. This study investigates the benefits, challenges, and trends associated with Gen-AI/ChatGPT in O&SCM. We collected data from O&SCM practitioners in the UK (N = 154) and the USA (N = 161). As we used the organizational learning theory for the research, our findings reveal increased efficiency as a significant benefit for both adopters and non-adopters in both countries, while indicating security, risks, and ethical as prominent concerns. In particular, it appeared that the integration of Gen-AI/ChatGPT leads to the enhancement of the overall supply chain performance. Moreover, organizational learning can speed up the results of Gen-AI/ChatGPT in O&SCM. No wonders that adopters express their satisfaction about the post-implementation benefits of the technology, which include reduced perceived challenges for pre-implementation, and greater optimism about future Gen-AI/ChatGPT utilization compared to non-adopters. Adopters also display diverse behavioral patterns toward efficiency, agility, responsiveness, etc. This study provides valuable insights for scholars, practitioners, and policymakers interested in comprehending Gen-AI/ChatGPT's implications in O&SCM for both adopters and non-adopters. Additionally, it underscores the importance of organizational learning processes in facilitating successful Gen-AI/ChatGPT adoption in O&SCM. © 2023 Elsevier B.V.","ChatGPT; Disruptive technology; Emerging technologies; Generative artificial intelligence; Operations and supply chain management; Organizational learning","Efficiency; Engineering education; Knowledge management; Supply chain management; ChatGPT; Disruptive technology; Emerging technologies; Generative artificial intelligence; Learning Theory; Operations and supply chain managements; Organizational learning; Security risks; Speed up; Supply chain performance; Artificial intelligence","Article","Final","","Scopus","2-s2.0-85168809450"
"Malik N.; Dahiya M.","Malik, Nikita (57211906332); Dahiya, Menal (57879230400)","57211906332; 57879230400","Interacting with chat GPT: Impact on students and teaching-learning","2024","Sigma Journal of Engineering and Natural Sciences","42","6","","1736","1748","12","0","10.14744/sigma.2023.00147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211574493&doi=10.14744%2fsigma.2023.00147&partnerID=40&md5=081545947718f69928a05bdc9f76c3d8","This paper presents a discussion of ChatGPT, an AI-powered chatbot developed by OpenAI, and the technology behind it. This work provides a brief history of the Generative Pre-trained Transformer (GPT) model, which is the backbone of ChatGPT, and its ability to perform various language-based tasks. It further explores how ChatGPT leverages GPT’s capabilities to offer a sophisticated chatbot experience to users and its role in students’ teaching-learning process. It includes an interview with ChatGPT, which highlights the potential benefits and threats of using this technology by students and for the purpose of teaching-learning and in academia. Finally, the article discusses on the outcomes of a survey conducted on undergraduate college students of Delhi and analyzes the responses to conclude on students’ perception on the use of ChatGPT and its impact on teaching-learning processes, and subsequently presents some recommendations on the same. Copyright 2021, Yıldız Technical University.","Artificial Intelligence; ChatGPT; Generative Pre-Trained Transformer; Learning; Students","","Article","Final","","Scopus","2-s2.0-85211574493"
"Chiu T.K.F.; Sanusi I.T.","Chiu, Thomas K.F. (56435413000); Sanusi, Ismaila Temitayo (57200147381)","56435413000; 57200147381","Define, foster, and assess student and teacher AI literacy and competency for all: Current status and future research direction","2024","Computers and Education Open","7","","100182","","","","1","10.1016/j.caeo.2024.100182","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206803040&doi=10.1016%2fj.caeo.2024.100182&partnerID=40&md5=a196bfd1305fc866dfd3027f6888ed00","[No abstract available]","","","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85206803040"
"Kiassat C.","Kiassat, Corey (55353133500)","55353133500","Reimagining Industrial Engineering: Embedding Sustainability and Societal Impact in Course Design","2024","ASEE Annual Conference and Exposition, Conference Proceedings","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202050124&partnerID=40&md5=413ce152c83a0f6c460c928fea075202","This work presents ongoing efforts to embed sustainability and societal impact into the Industrial Engineering (IE) program at Quinnipiac University (QU). QU's strategic emphasis on sustainability aligns with its commitment to community engagement and industry partnerships, providing fertile ground for the integration of sustainability principles into academic programs. In the Fall 2023 semester, the Lean Systems Engineering course was restructured to emphasize sustainability, integrating Lean Green examples and sustainability components throughout the curriculum. Guest speakers, including experts in Lean Green initiatives, enriched class discussions, providing real-world insights. Class activities, such as presentations and discussions, further reinforced the connection between Lean principles and sustainability goals. Additionally, a final project with a biofuel company offered students hands-on experience in streamlining sustainable processes. Feedback from both students and the industry partner was positive, affirming the effectiveness of integrating sustainability into the curriculum. Student responses indicated a significant shift in their perception of the role of engineers in addressing environmental challenges. Statistical analysis revealed a meaningful impact on student attitudes towards sustainability. Looking ahead, the author is spearheading initiatives to build on this momentum, including the formation of a sustainability consortium and pursuing grant opportunities to support sustainability-focused projects. The evolution of the IE curriculum at QU reflects a commitment to producing engineers equipped to address the complex challenges of a sustainable future. © American Society for Engineering Education, 2024.","","Engineering education; Students; Sustainable development; Sustainable development goals; Teaching; Academic program; Community engagement; Course design; Embeddings; Engineering program; Industry partnerships; Lean systems-engineering; Societal impacts; Sustainability impacts; Sustainability principles; Curricula","Conference paper","Final","","Scopus","2-s2.0-85202050124"
"Chang C.-K.; Chien L.-C.-T.","Chang, Chia-Kai (36602326400); Chien, Lee-Chia-Tung (59326138200)","36602326400; 59326138200","Enhancing Academic Performance with Generative AI-Based Quiz Platform","2024","Proceedings - 2024 IEEE International Conference on Advanced Learning Technologies, ICALT 2024","","","","193","195","2","0","10.1109/ICALT61570.2024.00062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203804567&doi=10.1109%2fICALT61570.2024.00062&partnerID=40&md5=5b51b5c18ae97329582ba48a5e42d745","In this work, we build a QuizGPT web interface for learners to learn Python via quizzing and chatting. Additionally, we evaluate the impact of generative AI on learning. To effectively evaluate learners' learning achievements, the quizzes must be diverse, and the options should be challenging to ensure a complete understanding of the material. It is a time-consuming challenge for teachers to create adaptive quizzes based on learners' levels for individual learning needs. This study generates 366 quiz questions automatically via generative AI in three difficulty levels (easy, medium, hard), based on Python knowledge points. A positive correlation observed between the QuizGPT platform activities and learners' test scores. These activities include the number of quizzes attended, the correctness rates, and the frequency of participation in generative AI sessions. Additionally, QuizGPT platform activities could predict learners' test scores with a Root Mean Squared Error percentage (%RMSE) of 3.58%. Remarkably, interaction with generative AI proves to enhance Python programming skills more effectively than the number of quiz attempts. Survey analysis reveals that QuizGPT can reduce learning anxiety and enhance learning interest. Our findings suggest that generative AI, as implemented in the QuizGPT platform, is a potent tool for academic improvement, significantly enhancing self-regulation and engagement in learning Python programming. © 2024 IEEE.","Artificial intelligence generated content; ChatGPT; Generative AI; Quiz platform","Adversarial machine learning; Federated learning; Generative adversarial networks; Academic performance; Artificial intelligence generated content; ChatGPT; Generative AI; Learn+; Learning achievement; Python programming; Quiz platform; Teachers'; Web interface; Contrastive Learning","Conference paper","Final","","Scopus","2-s2.0-85203804567"
"Perkins M.; Furze L.; Roe J.; Macvaugh J.","Perkins, Mike (56002001000); Furze, Leon (58625506900); Roe, Jasper (57202857780); Macvaugh, Jason (24470325400)","56002001000; 58625506900; 57202857780; 24470325400","The Artificial Intelligence Assessment Scale (AIAS): A Framework for Ethical Integration of Generative AI in Educational Assessment","2024","Journal of University Teaching and Learning Practice","21","6","","","","","15","10.53761/q3azde36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193319664&doi=10.53761%2fq3azde36&partnerID=40&md5=c2a07a04e3e71b3d7958c051269f82cd","Recent developments in Generative Artificial Intelligence (GenAI) have created a paradigm shift in multiple areas of society, and the use of these technologies is likely to become a defining feature of education in coming decades. GenAI offers transformative pedagogical opportunities, while simultaneously posing ethical and academic challenges. Against this backdrop, we outline a practical, simple, and sufficiently comprehensive tool to allow for the integration of GenAI tools into educational assessment: the AI Assessment Scale (AIAS). The AIAS empowers educators to select the appropriate level of GenAI usage in assessments based on the learning outcomes they seek to address. The AIAS offers greater clarity and transparency for students and educators, provides a fair and equitable policy tool for institutions to work with, and offers a nuanced approach which embraces the opportunities of GenAI while recognising that there are instances where such tools may not be pedagogically appropriate or necessary. By adopting a practical, flexible approach that can be implemented quickly, the AIAS can form a much-needed starting point to address the current uncertainty and anxiety regarding GenAI in education. As a secondary objective, we engage with the current literature and advocate for a refocused discourse on GenAI tools in education, one which foregrounds how technologies can help support and enhance teaching and learning, which contrasts with the current focus on GenAI as a facilitator of academic misconduct. © by the authors, in its year of first publication.","Academic integrity; AI Assessment; AI integration; Generative artificial intelligence; Student engagement","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85193319664"
"Lăzăroiu G.; Gedeon T.; Rogalska E.; Valaskova K.; Nagy M.; Musa H.; Zvarikova K.; Poliak M.; Horak J.; Crețoiu R.I.; Krulicky T.; Ionescu L.; Popa C.; Hurloiu L.R.; Nistor F.; Avram L.G.; Braga V.","Lăzăroiu, George (55877639100); Gedeon, Tom (24400830200); Rogalska, Elżbieta (57256531200); Valaskova, Katarina (56925561400); Nagy, Marek (57849721300); Musa, Hussam (57189098824); Zvarikova, Katarina (56027648900); Poliak, Milos (56216893000); Horak, Jakub (58558460700); Crețoiu, Raluca Ionela (59402848400); Krulicky, Tomas (57210288964); Ionescu, Luminița (55599363300); Popa, Cătălin (56275771200); Hurloiu, Lăcrămioara Rodica (58675510300); Nistor, Filip (56275899800); Avram, Laurenția Georgeta (57208586494); Braga, Viorica (57208585924)","55877639100; 24400830200; 57256531200; 56925561400; 57849721300; 57189098824; 56027648900; 56216893000; 58558460700; 59402848400; 57210288964; 55599363300; 56275771200; 58675510300; 56275899800; 57208586494; 57208585924","Digital twin-based cyber-physical manufacturing systems, extended reality metaverse enterprise and production management algorithms, and Internet of Things financial and labor market technologies in generative artificial intelligence economics","2024","Oeconomia Copernicana","15","3","","837","870","33","0","10.24136/oc.3183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208568998&doi=10.24136%2foc.3183&partnerID=40&md5=1b335b43403ad0d8f31cbd36efaa67fc","Research background:Generative artificial intelligence (AI) and machine learning algorithms support industrial Internet of Things (IoT)-based big data and enterprise asset management in multiphysics simulation environments by industrial big data processing, modeling, and moni-toring, enabling business organizational and managerial practices. Machine learning-based decision support and edge generative AI sensing systems can reduce persistent labor shortag-es and job vacancies and power productivity growth and labor market dynamics, shaping career pathways and facilitating occupational transitions by skill gap identification and labor-intensive manufacturing job automation by path planning and spatial cognition algorithms, furthering theoretical implications for management sciences. Generative AI fintech, machine learning algorithms, and behavioral analytics can assist multi-layered payment and transaction processing screening with regard to authorized push payment, account takeover, and synthetic identity frauds, flagging suspicious activities and combating economic crimes by rigorous verification processes. Purpose of the article: We show that edge device management functionalities of cloud industrial IoT and virtual robotic simulation technologies configure plant production and route planning processes across cyber-physical production and industrial automation systems in multi-cloud immersive 3D environments, leading to tangible business outcomes by reinforcement learning and convolutional neural networks. Labor-augmenting automation and generative AI technologies can impact employment participation, increase wage and wealth inequali-ty, and lead to potential job displacement and massive labor market disruptions. The deep learning capabilities of generative AI fintech in terms of adaptive behavioral analytics and credit scoring mechanisms can enhance financial transaction behaviors and algorithmic trading returns, identify fraudulent payment transactions swiftly, and improve financial forecasts, leading to customized investment recommendations and well-informed financial decisions. Methods: Machine learning-based study selection process and text mining systematic review management software and tools leveraged include Abstrackr, CADIMA, Colandr, DistillerSR, EPPI-Reviewer, JBI SUMARI, METAGEAR package for R, SluRp, and SWIFT-Active Screener. Such reference management systems are harnessed for methodologically rigorous evidence synthesis, study selection and characteristic extraction, predictive document classification, machine learning-based citation and record screening, bias assessment, article retrieval auto-mation, and document classification and prioritization. © Instytut Badań Gospodarczych.","cyber-physical manufacturing; fintech; generative artificial intelligence economics; labor market; metaverse enterprise; production management","","Article","Final","","Scopus","2-s2.0-85208568998"
"Kubullek A.-K.; Kumaç N.; Dogangün A.","Kubullek, Ann-Kathrin (58193696600); Kumaç, Nadire (59324089300); Dogangün, Aysegül (55318336100)","58193696600; 59324089300; 55318336100","Understanding the Adoption of ChatGPT in Higher Education: A Comparative Study with Insights from STEM and Business Students","2024","ACM International Conference Proceeding Series","","","","684","689","5","1","10.1145/3670653.3677507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203686080&doi=10.1145%2f3670653.3677507&partnerID=40&md5=1d9ce23204845e6d9e2b3dcb03487e59","Since ChatGPT's introduction, generative artificial intelligence (AI) has significantly influenced the media, technological innovation, and educational discourse. Its increasing importance, especially in academia, necessitates a detailed examination of the impact of AI on higher education, particularly on how it changes teaching and learning processes. This study therefore looks at the factors affecting students' attitudes towards AI technologies in the university setting, with a particular focus on the differences between business and STEM programmes. Using a mixed methods approach, the study combines surveys and interviews to collect data on students' perceptions, attitudes and experiences with generative AI technology in academia. The data collected is analysed both quantitatively and qualitatively to reveal significant trends and insights into the adoption and use of generative AI tools in the university environment. The main objective of the study is to shed light on the determinants that determine the varying degrees of AI adoption in different academic disciplines. The findings have the potential to inform the implementation of educational technology and assist in the development of strategies for the effective integration of generative AI tools to meet the different needs and preferences of students in a range of academic contexts.  © 2024 Owner/Author.","academic disciplines; acceptance of AI; business degree programs; ChatGPT; generative AI adoption; higher education; STEM degree programs; students","Generative adversarial networks; Students; Academic discipline; Acceptance of artificial intelligence; Business degree program; ChatGPT; Degree program; Generative artificial intelligence adoption; High educations; STEM degree program; Student attitudes; Contrastive Learning","Conference paper","Final","","Scopus","2-s2.0-85203686080"
"Cardoso A.G.; Chan E.; Quintão L.; Pereira C.","Cardoso, André Guskow (57834253300); Chan, Elizabeth (59396081600); Quintão, Luísa (59395921000); Pereira, Cesar (58297170400)","57834253300; 59396081600; 59395921000; 58297170400","Generative Artificial Intelligence and Legal Decision-making","2024","Global Trade and Customs Journal","19","11-12","","710","730","20","0","10.54648/GTCJ2024081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208183616&doi=10.54648%2fGTCJ2024081&partnerID=40&md5=d2732500c14ddd03fc6d0f0636ee0634","This article explores the transformative impact of generative artificial intelligence (GenAI) on legal decision-making processes. It also examines disclosure obligations and the challenges AI-assisted decisions pose in litigation and arbitration. A case study using ChatGPT as arbitrators in the Willem C. Vis International Commercial Arbitration Moot provides practical insights into AI’s potential and limitations in arbitral decision-making. The experiment highlights key learnings about technology constraints, due process concerns, and the enforceability of AI-assisted decisions. The article concludes with reflections on integrating AI into legal frameworks, emphasizing the need for updated regulations and best practices to ensure transparency, fairness, and accountability in AI applications within the legal domain. © (2024), (Kluwer Law International). All rights reserved.","AI-assisted arbitration; Disclosure obligations; Ethical AI; Generative AI; Legal decision-making; Legal technology; Moot court","","Article","Final","","Scopus","2-s2.0-85208183616"
"Park H.E.","Park, Ha Eun (58931989700)","58931989700","The double-edged sword of generative artificial intelligence in digitalization: An affordances and constraints perspective","2024","Psychology and Marketing","41","11","","2924","2941","17","2","10.1002/mar.22094","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200979713&doi=10.1002%2fmar.22094&partnerID=40&md5=fbc2db87f3f3f5a924229eb513ecb987","Generative artificial intelligence (AI) has gained prominence across various industries and domains, offering capabilities to generate human-like text, creative ideas, and solutions. This paper explores customers' responses to the use of generative AI in digitalizing content production and consumption processes. Drawing on technology affordance theory, this article examines how are the affordances of generative AI leveraged to contribute to the gradual digitalization of individuals. This netnographic study is based on over 9 months naturalistic observations of the AI Community online, culminating in 1572 pages of data. The findings identify different types of affordances that foster digitalization: automated content creation, automated data analysis, and AI-generated content dissemination. This study also identifies the constraints of generative AI and discusses potential interventions to address these constraints and prevent unintended consequences. This research provides insights for scholars, professionals, and educators to better understand the dynamics of leveraging generative AI. © 2024 The Author(s). Psychology & Marketing published by Wiley Periodicals LLC.","AI-generated content; ChatGPT; digitalization; generative AI; generative artificial intelligence; netnography; technology affordance theory; technology affordances and constraints","","Article","Final","","Scopus","2-s2.0-85200979713"
"Zhou J.","Zhou, Jin (59410329500)","59410329500","The influence of artificial intelligence technology application on employee work performance: Based on the intermediary role of enterprise innovation level","2024","ACM International Conference Proceeding Series","","","","281","286","5","0","10.1145/3695652.3695660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209152764&doi=10.1145%2f3695652.3695660&partnerID=40&md5=ffdfc62e11429908be78c616cf263617","In the global digital transformation, AI technology's role in enterprise management has become crucial. To understand how AI enhances employee performance, a rigorous empirical study was conducted with 447 valid questionnaire samples. Introducing enterprise innovation level as an intermediary variable and organizational innovation atmosphere as an adjustment variable, the study found that AI technology significantly boosts employee performance and that an innovative atmosphere enhances this effect. These findings underscore AI's importance in enterprise management and how to maximize its impact through fostering innovation.  © 2024 ACM.","Artificial intelligence technology application; Enterprise innovation level; Organizational innovation atmosphere; Staff performance","AI Technologies; Artificial intelligence technologies; Artificial intelligence technology application; Enterprise innovation level; Enterprise management; Organizational innovation; Organizational innovation atmosphere; Performance; Staff performance; Technology application; Personnel rating","Conference paper","Final","","Scopus","2-s2.0-85209152764"
"Paxinos S.; Robertson D.","Paxinos, Stathi (58904874800); Robertson, David (59484925700)","58904874800; 59484925700","Abuzaharen's Challenge: Building Sustainability Competencies through Science-Fiction Narratives and Game-based Learning","2024","Proceedings of the European Conference on Games-based Learning","18","1","","695","704","9","0","10.34190/ecgbl.18.1.2689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212916441&doi=10.34190%2fecgbl.18.1.2689&partnerID=40&md5=550785472fe4461b34c20b7cbeff5d54","This paper presents a case study of the evolution of science-fiction themed game-based learning across two Masters units in a higher education course on sustainable development. The authors created three sustainability games to be played by classes in live workshop settings – a card matching game about urban challenges, a hackathon-style sustainability innovation challenge, and a systemic change analysis game - to build students’ capacity to think about systems, sustainability values, and strategies to advance positive change. The story of a bumbling, but well-intentioned, alien protagonist, Abuzaharen, serves as a dynamic backdrop to the games, which see students ‘transported’ to an alternative reality to complete time-bound challenges in a rigorous yet engaging manner in order to find their way ‘home’ to Earth. This paper documents how each game’s narrative, storytelling, design, and play evolved through multiple iterations over four years, drawing on critical reflection, evidence of engagement and student feedback. The paper also reflects on the affordances of generative artificial intelligence (GenAI) for game-based learning designers. One of the games has integrated GenAI to make Abuzaharen a real-time character in the delivery of the game, including judging student’s innovation pitches and generating live narrative content about game outcomes. The GenAI alien agent subsequently appears in ‘regular’ learning content as a course tutor. Qualitative feedback and educator observations suggest the games increased active class participation, built peer connections, fostered skills in problem-solving, promoted collaboration, and modelled creativity. The games also challenge existing narratives about negative impacts of GenAI on tertiary education by illustrating productive and creative uses of GenAI for students and educators. This paper argues that immersive, narrative-driven approaches, coupled with the strategic use of GenAI, can significantly enrich higher education for sustainability and other educational experiences by scaffolding selected competencies and applying complex concepts to real-world challenges in a light-hearted way. It concludes with practice-led insights and directions for future exploration of interest to sustainability educators, designers of interactive learning, and those experimenting with GenAI in narrative-based games. © 2024 Dechema e.V.. All rights reserved.","Education for Sustainable Development; Game-based Learning; Generative Artificial Intelligence (Genai); Narratives; Science Fiction; Sustainability","Contrastive Learning; Game design; Case-studies; Change analysis; Education course; Education for sustainable development; Game-based Learning; Generative artificial intelligence; High educations; Matching game; Narrative; Science fictions; Students","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85212916441"
