Autores,Título,Fonte,Ano,Palavras-chave,Resumo,base
zhang x;wareewanich t ,a study of the factors influencing teachers’ willingness to use generative artificial intelligence based on the utaut model,international journal of interactive mobile technologies,2024,digital technology; Generative Artificial Intelligence; mobile computing; UTAUT model,"The advancement of wireless communication and mobile computing technologies has paved the way for the extensive application of Artificial Intelligence across diverse sectors, including electronics, automotive, medical, industrial, and educational fields. Employing the Unified Theory of Acceptance and Use of Technology, this study investigates the key determinants influencing preschool teachers’ willingness to utilize Generative Artificial Intelligence (GAI) in Jiangsu Province, China. The research, involving 154 participants, analyzes their inclination towards GAI adoption through four dimensions: performance expectancy, effort expectancy, social influence, and facilitating conditions. Findings reveal that performance expectancy, social influence, and facilitating conditions significantly enhance their willingness to adopt GAI. Additionally, teaching experience and IT proficiency were found to moderate the effects of certain variables on this willingness. This aligns with the broader goal of integrating digital technology into education, which is a vital element of the nexus between digital technology development and innovation. © 2024 by the authors of this article.",scopus
diez-rozas v;estevez-ayres i;alario-hoyos c;callejo p;delgado kloos c ,a web application for a cost-effective fine-tuning of open-source llms in education,communications in computer and information science,2024,Generative Artificial Intelligence; Large Language Models; Open Source Models; Web Application,"Many Generative Artificial Intelligence (GenAI) applications built on Large Language Models (LLMs) emerged in 2023 causing a great impact in the educational landscape. However, most of these GenAI applications require a subscription to access the most advanced models and functionalities. Therefore, the search for cost-effective solutions becomes an important concern, especially for instructors and educational institutions with limited resources. This article introduces a Web Application aimed at facilitating instructors in fine-tuning open-source LLMs and subsequently posing questions to them. Instructors only need to upload a dataset into the Web Application to fine-tune the open-source LLM, specifically Llama 2. This web application was developed using open-source tools (Hugging Face and Langchain), and techniques to reduce hardware resource consumption (LoRA and QLoRA). Preliminary results from the experiments conducted show that LLMs provide more accurate responses when fine-tuned for a specific task through the Web Application. These are the first steps in providing cost-effective GenAI solutions for instructors and educational institutions using open-source tools. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",scopus
ashwini a;prabhakar j m;kadry s ,exploring the applications on generative ai and llm,generative ai and llms: natural language processing and generative adversarial networks,2024,Adaptive scientific modeling; Artificial intelligence; Blockchain; Generative artificial intelligence; Large language models; Quantum-inspired methodologies,"The recent advancement in artificial intelligence (AI)-the generative artificial intelligence (GenAI)-is a most powerful form that serves to support the organizational computerized structure of society. This chapter delves into the recent methodologies and various applications relating to large language models in both scientific and technical research. This chapter mainly investigates the prime significance in enhancing the various research techniques in scientific fields. This model has significantly contributed to the creation of numerous tools by comprehending and providing the source code with natural language-based instructions. The chapter focuses on the data level incorporation that is termed to be adaptive using quantum-based techniques, which emphasize the advantages they deliver in modeling the scientific domain with comprehensive context creation. The technique required for preserving the confidentiality, transfer learning with neural network, and teamwork interaction with research work are kept under light, taking prior care on the data it provides and also the robustness that is required in the applications of AI. This chapter shows the successful applications of generative neural networks in scientific research advancements. GenAI proves to be a valuable resource for both the researchers and professionals. © 2024 Walter de Gruyter GmbH, Berlin/Boston. All rights reserved.",scopus
mozelius p ,generative ai and its impact on activities and assessment in higher education: some recommendations from master's students,"proceedings of the 4th international conference on ai research, icair 2024",2024,Artificial intelligence; GenAI; Generative AI; Higher education; Sustainable education,"The rapid development of generative AI (GenAI) raises new questions in higher education such as: What should be the university policy regarding GenAI? How ought courses be redesigned for fair and resilient assessment? What the added pedagogical and didactical values when involving GenAI in teaching and learning activities? Different universities have rapidly created and presented contradictory standpoints and draft policies, and teachers show different opinions regarding the pros and cons of GenAI. This study has been carried out with a student perspective, where 16 students have been examining their own Master's programme on sustainable information provision. Students have assessed the assessment in their previous courses in the Master's programme. The aim of the study is to investigate how sustainable course activities and assignment are, and to explore how GenAI tools might support and facilitate teaching and learning activities. Moreover, the students were given the task to test detection software on GenAI generated solutions to assignments in chosen Master's courses. Students conducted these tasks as a part of a 7.5 ECTS project course in the same Master's programme as the investigated courses are a part of. For inspiration and for background information on artificial intelligence to the project work students participated in the first Symposium on AI Opportunities and Challenges (SAIOC) in December 2023. Data have been gathered from reports of 3 group projects where 16 students have investigated 5 freely chosen courses in the programme in each group work. Beside from testing GenAI tools in existing activities and assignments students also interviewed the subject matter experts that are responsible for the chosen courses. Results were firstly analysed and presented in group reports, combined with 16 individual reflection essays. Regarding the individual essays students were instructed to bring up ethical perspectives on GenAI in higher education, and also to present and discuss suggestions for how the current course design and assignments better could be redesigned for improved sustainability and fairness. Finally, all the group reports and the individual reflection essays were thematically analysed by the author, who also is the subject matter expert and main teacher for the project course. Findings show that many of the existing assignments in the Master's programme could be partly solved with different GenAI tools. The AI generated solutions showed different levels of quality and correctness for different types of activities and assignments. An ethical concern that many student essays brought up was the relatively poor quality of the tested detection software. A question in one of the essays was if teachers should use detection software with an accuracy rate just above 50% to evaluate student submissions. The recommendations from both the students and the author are to provide clear instructions about when GenAI is allowed and not in course activities, and to redesign the course structure for continuous assessment. With or without GenAI tools, a continuous assessment where the whole study path through a course is assessed, and not only isolated submissions, would strengthen fairness and sustainability. Finally, several students suggest oral examinations as a complement to the existing assessment methods, even if their findings showed that GenAI tools can be used to prepare oral presentations. © Proceedings of the 4th International Conference on AI Research, ICAIR 2024.",scopus
pereira c s;ferreira m j;sobral s r;durão n;moreira f ,enhancing higher education in portugal: leveraging generative artificial intelligence for learning-teaching process,"proceedings of the european conference on e-learning, ecel",2024,Educational outcomes; Ethical implications; Generative AI (GAI); Higher education; Personalized learning,"Recent advancements in Generative Artificial Intelligence (GAI) have revolutionized numerous fields, including higher education. This study focuses on the integration of GAI in Portuguese higher education institutions and explores its multifaceted implications and potential. Our research, conducted through a comprehensive survey between April and June 2023, engages with higher education faculty to understand their perceptions and utilization of GAI tools in teaching and learning processes. The potential of GAI to enhance personalized learning and interactive teaching methodologies is significant. It enables the creation of customized educational content, interactive simulations, and real-time feedback mechanisms, thus reducing the educators' workload and enhancing the learning experience. However, this integration is not without challenges. The study identifies critical ethical concerns around the use of GAI, including issues related to data privacy, intellectual property, and the potential for bias in AI-generated content. Additionally, our findings indicate a varying degree of acceptance and readiness among educators to adopt these technologies. While some express enthusiasm for the potential of GAI to transform educational practices, others remain cautious, highlighting the need for comprehensive training and support to fully leverage GAI capabilities. This paper captures the essence of the study's findings, which illustrate both the promising opportunities and the complex challenges associated with the use of Generative AI in higher education. By addressing these challenges and fostering an informed and ethical approach to GAI integration, higher education institutions can significantly enhance teaching and learning landscapes. © 2024 Academic Conferences Limited. All rights reserved.",scopus
wang d;liu y;jing x;liu q;lu q ,catalyst for future education: an empirical study on the impact of artificial intelligence generated content on college students’ innovation ability and autonomous learning,education and information technologies,2024,Artificial intelligence generated content; Autonomous learning ability; Innovation and entrepreneurship abilities; Structural equation model,"With the rapid advancement of artificial intelligence (AI) technology, particularly in its application within the field of education, artificial intelligence generated content (AIGC) has become a focal point of academic inquiry. This paper aims to explore the application of AIGC technology in education and its impact on university students’ critical thinking (CT), learning attitudes (LA), innovation and entrepreneurship abilities (IEA), and autonomous learning capabilities (ALA). Using structural equation modeling (SEM) and mediation models (MM), this study analyzes the pathways of interaction and mediation effects among these variables. The research identifies that CT and LA positively influence the use of AIGC, which in turn fosters the development of IEA and ALA. Additionally, IEA acts as a mediator between the use of AIGC and ALA. The study also discusses potential issues associated with the application of AIGC in education, including academic integrity concerns and the potential decline in students’ higher-order cognitive skills. The findings underscore the importance of judiciously integrating AIGC and cultivating students’ innovation and autonomous learning capabilities in education. The study recommends that educators guide students in the prudent use of AI technologies, discourage over-reliance, and nurture critical thinking and positive learning attitudes. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",scopus
rawat s;mittal s;nehra d;sharma c;kamboj d ,exploring the potential of chatgpt to improve experiential learning in education,acm international conference proceeding series,2023,"ChatGPT; Generative Artificial Intelligence (GAI); Natural Language Processing; OpenAI; Teaching & Learning, Education","Artificial Intelligence (AI) is revolutionizing the field of education by offering new possibilities for personalized and experiential learning along with data-driven insights. The advancement in AI to Generative Artificial Intelligence (GAI) has made the tables turn notably in the field of education. Generative AI application tool ChatGPT is emerging as a game changer offering personalized learning experiences by analyzing huge amounts of student data, generating study materials and pacing to individual needs. Intelligent educational tools powered by AI provide personalized guidance and feedback, adapting to curriculum to address knowledge gaps. GAI also automates the grading process, providing instant feedback and relieving teachers for qualitative assessments. This research paper offers a thorough examination of the potential uses, advantages, difficulties, and moral issues related to implementing ChatGPT in educational contexts. The authors closely analyze how ChatGPT can improve educational experiences, assist personalized learning, and encourage student- teacher interaction, while exploring the drawbacks of using generative AI models in education, such as concerns about bias, data privacy, and over-reliance on technology. This research article intends to offer educators & academicians useful insights into the usage of ChatGPT in the educational field through a critical analysis of the existing literature and real- world experiences.  © 2023 ACM.",scopus
ashwini a;kavitha v;balasubramaniam s;kadry s ,early roots of generative ai models and llm: a diverse landscape,generative ai and llms: natural language processing and generative adversarial networks,2024,Artificial intelligence; Gaussian mixture models; Generative artificial intelligence; Hidden Markov models; Large language models; Natural language processing,"The development of large language models (LLM) in generative modeling traces important characteristics through the differed landscapes that are under the effective characteristics through the various emerging technologies. There is a rapid increase in LLM that has attracted numerous researchers, leaders along the public. From a technical perspective, these forms of algorithms always produce content that combines with humanized instructions which aids in creating the instructions and the model structure that completes the assignment patterns. This holds two main processes: the first is where there is an extraction of rules and the generation of the retrieved content. The systems that have been working with rule-based have dominated in generating the model language by facing the issues with system complexity. The models with the computational AI systems have created a greater revolution. It was first developed by creating Gaussian mixture models in the 1950s along with the hidden Markov models. With the use of these models, the sequential data using the speech with the time series approach was developed. This mode of approach develops attraction in the years to come, where the novel methods will be updated regularly, creating life-to-language models. © 2024 Walter de Gruyter GmbH, Berlin/Boston. All rights reserved.",scopus
kliestik t;lăzăroiu g ,"emotional state prediction and data visualization tools, generative artificial intelligence and workplace monitoring systems, and wearable sensor-based devices in immersive workspaces",analysis and metaphysics,2023,data visualization tools; emotional state prediction; generative artificial intelligence; immersive workspaces; wearable sensor-based devices; workplace monitoring systems,"Based on an in-depth survey of the literature, the purpose of the paper is to explore generative artificial intelligence and workplace monitoring systems shaping organizational retention, shape talent surplus, and enhance job reallocation mechanisms in immersive extended reality environments. In this research, previous findings were cumulated showing that generative artificial intelligence and simulation modeling software tools can integrate realistic movement simulations, network visual analytics, and physiological and behavioral biometrics. Throughout August 2023, a quantitative literature review of the Web of Science, Scopus, and ProQuest databases was performed, with search terms including “generative artificial intelligence and workplace monitoring systems” + “emotional state prediction and data visualization tools,” “wearable sensor-based devices,” and “immersive workspaces.” As research published in 2023 was inspected, only 166 articles satisfied the eligibility criteria, and 49 mainly empirical sources were selected. Data visualization tools: Dimensions (bibliometric mapping) and VOSviewer (layout algorithms). Reporting quality assessment tool: PRISMA. Methodological quality assessment tools include: AMSTAR, Dedoose, Distiller SR, and SRDR. © 2023, Addleton Academic Publishers. All rights reserved.",scopus
berg c;omsén l;hansson h;mozelius p ,"students' ai-generated images: impact on motivation, learning and, satisfaction","proceedings of the 4th international conference on ai research, icair 2024",2024,AI-generated images; AIED; GenAI; Generative AI; Midjourney; Secondary education,"In the contemporary society where the rapid development of generative AI (GenAI) infiltrate daily life, it is imperative for schools to keep up with the development. Future generations are expected to have GenAI skills and knowledge in the same way that traditional literacy is a recruitment condition today. School curricula need to integrate this new technology to support students' learning and development. Research on artificial in education (AIED) has reported on the challenges with the involvement of GenAI in teaching and learning, but also on GenAi as a study support. To not fall behind many schools have started out with AIED initiatives which creates a need for studying how GenAI could be applied in a useful way in teaching and learning activities. The research question that guided this study was: In what ways could the use of GAI in visual form support students' learning process and motivation in upper secondary school settings? The overall research strategy was a qualitative case study approach with investigator triangulation. Data were collected in a combination of observations at workshop sessions and semi-structured interviews. with teachers as well as students. In a six-step inductive thematic analysis data excerpts were coded, aggregated to categories, and presented. Findings indicate that GenAI tools for image generation, can have a positive effect on learning. At the same time that memorisation of information is supported, there were also a positive impact on motivation and student satisfaction. The involvement of image generation tools not a substitute, but rather a complement to traditional teaching and learning activities. The conclusion is that the use of AI in education can offer new learning opportunities, and with the increased use of GenAI, it is crucial for both students and teachers to keep pace. However, this would require that more time and resources for teacher professional development on AIED. © Proceedings of the 4th International Conference on AI Research, ICAIR 2024.",scopus
chauhan c;currie g ,the impact of generative artificial intelligence on research integrity in scholarly publishing,american journal of pathology,2024,,[No abstract available],scopus
huang j;wei y;zhang l;chen w ,evaluating generative artificial intelligence in answering course-related open questions: a pilot study,"proceedings - 2024 international symposium on educational technology, iset 2024",2024,automatic evaluation; course-related open questions; GAI; manual evaluation,"ChatGPT, which has been discussed in public in recent years, was launched in November 2022, with a continuously expanding market size. Generative Artificial Intelligence (GAI) has been developing rapidly in China. However, we have little knowledge of how well the GAIs are performing at answering course-related open questions, especially in Chinese. Therefore, this study aims to analyze the performances of GAIs in answering course-related open questions from both machine and manual evaluation perspectives. The results from this study showed that GAIs got unsatisfactory scores in this situation. Two different aspects of comparison of GAIs' scores are discussed. More study on evaluating the performance of GAI is needed to investigate the capabilities of answering course-related open questions in the future.  © 2024 IEEE.",scopus
horak j;kolencik j;văduva c;woodward b ,"generative artificial intelligence and 3d virtual simulation technologies, ambient scene detection and automated employment decision tools, and visual data mining and immersive remote collaboration systems in decentralized autonomous organizations",analysis and metaphysics,2023,3D virtual simulation technologies; ambient scene detection; automated employment decision tools; decentralized autonomous organization; generative artificial intelligence; immersive; remote collaboration; visual data mining,"The objective of this paper is to systematically review generative artificial intelligence and workplace monitoring systems configuring crowdsourced decisions, business process performance, and talent management. Throughout August 2023, a quantitative literature review of the Web of Science, Scopus, and ProQuest databases was performed, with search terms including “generative artificial intelligence and 3D virtual simulation technologies” + “ambient scene detection and automated employment decision tools,” “visual data mining and immersive remote collaboration systems,” and “decentralized autonomous organizations.” As research published in 2023 was inspected, only 167 articles satisfied the eligibility criteria, and 49 mainly empirical sources were selected. Data visualization tools: Dimensions (bibliometric mapping) and VOSviewer (layout algorithms). Reporting quality assessment tool: PRISMA. Methodological quality assessment tools include: AMSTAR, Dedoose, Distiller SR, and SRDR. © 2023, Addleton Academic Publishers. All rights reserved.",scopus
wang n;wang x;su y -s ,"critical analysis of the technological affordances, challenges and future directions of generative ai in education: a systematic review",asia pacific journal of education,2024,challenges; education; Generative AI; systematic literature review; technological affordance,"Generative artificial intelligence has been regarded as a transformative tool. While responsible and ethical applications could bring opportunities to education, their misuse could pose demanding challenges. It is necessary to clarify the technological affordances and challenges in a normative way to lay the foundation for future development. This study addressed the dearth of literature by performing a systematic review, aiming to (i) explore the utility and availability from the technological affordances perspective; (ii) summarize the current challenges in risks prevention; and (iii) propose possible directions for future research and practice. A total of 27 academic articles published in core journals between 2020 and 2023 were analyzed, and the inductive grounded approach was used to categorize the coding schemes. The findings revealed four technological affordances: accessibility, personalization, automation, and interactivity; and five challenges: academic integrity risk, response errors and bias, over-dependence risk, the widening digital divide, and privacy and security. We propose future directions, encourage educational organizations to formulate guidelines for the ethical use of AI in education, call on educators to embrace future trends in AI education instead of shunning its use, and guide students to treat it as a thought aid and reference, rather than relying on it entirely. © 2024 National Institute of Education, Singapore.",scopus
adam i o;alhassan m d;diack a ,exploring students foundational skills in integrating generative ai in ghanaian higher education: a constructive learning perspective,"30th americas conference on information systems, amcis 2024",2024,Constructive Learning; Foundational Skills; Generative AI; Ghana; Higher Education; Interpretive Case Study,"The proliferation of generative artificial intelligence (GAI) in education necessitates an understanding of the foundational skills required for its effective adoption and use. This qualitative interpretive case study, grounded in constructive learning theory, investigates the foundational skills needed for GAI integration in Ghanaian higher education and examines how students' skills influence their ability to interact with and utilize GAI tools effectively. Semi-structured interviews and observations were conducted with 67 students across six diverse institutions in Northern Ghana. Thematic analysis revealed critical foundational skills, including programming proficiency, data manipulation expertise, algorithmic thinking, critical thinking, and communication skills. The study highlights the unique aspects and applications of these skills within GAI contexts and emphasizes the importance of active learning, collaborative environments, and institutional support in fostering skill development. The findings contribute to the understanding of GAI integration in higher education and provide valuable insights for curriculum development, pedagogical approaches, and policy initiatives in developing countries. © 2024 30th Americas Conference on Information Systems, AMCIS 2024. All rights reserved.",scopus
chen j;zacharias j ,design principles for collaborative generative ai systems in software development,lecture notes in computer science (including subseries lecture notes in artificial intelligence and lecture notes in bioinformatics),2024,Design Science Research; Generative Artificial Intelligence; Large Language Models; Programming Assistant; Software Development,"Generative artificial intelligence (GAI) has the potential to transform software development practices with prior research indicating significant overall enhancements in developers’ productivity. However, there exists a lack of design knowledge for organization-specific GAI systems to assist software development. To bridge this research gap, we derive a design framework for collaborative GAI systems in software development following design science research. Specifically, we conducted eight interviews with practitioners and reviewed extant literature to formulate design requirements and design principles. In our analysis of the literature and our qualitative data, we identify problems surrounding usability, data privacy, hallucination and transparency. To address these problems, we propose GAI system designs that enable user-centricity, data protection, quality control and communication. Our findings contribute valuable design knowledge to the field of generative AI and organizational software development practices. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",scopus
chen j;zhuo z;lin j ,does chatgpt play a double-edged sword role in the field of higher education? an in-depth exploration of the factors affecting student performance,sustainability (switzerland),2023,ChatGPT; generative artificial intelligence; higher education; overall quality; performance impact,"The application of generative artificial intelligence in the field of education has been receiving increasing attention, with the performance of chatbot ChatGPT being particularly prominent. This study aims to explore in depth the performance impact on higher education students utilizing ChatGPT. To this end, we conducted a survey on 448 university students and employed the partial-least squares (PLS) method of structural equation modeling for data analysis. The results indicate that all eight hypothetical paths posited in this study were supported, and surprisingly, the hypothesis that technology characteristics have a direct effect on performance impact was supported. Moreover, the study found that overall quality is a crucial factor determining performance impact. Overall quality indirectly affects performance impact through task-technology fit, technology characteristics, and compatibility, among which the mediating effect of compatibility is most significant, followed by technology characteristics. This study offers practical recommendations for students on the proper use of ChatGPT during the learning process and assists developers in enhancing the services of the ChatGPT system. © 2023 by the authors.",scopus
xia q;weng x;ouyang f;lin t j;chiu t k f ,a scoping review on how generative artificial intelligence transforms assessment in higher education,international journal of educational technology in higher education,2024,AI literacy; Assessment; Assessment literacy; Educational policy; Generative artificial intelligence; Higher education; Professional development; Scoping review,"Generative artificial intelligence provides both opportunities and challenges for higher education. Existing literature has not properly investigated how this technology would impact assessment in higher education. This scoping review took a forward-thinking approach to investigate how generative artificial intelligence transforms assessment in higher education. We used the PRISMA extension for scoping reviews to select articles for review and report the results. In the screening, we retrieved 969 articles and selected 32 empirical studies for analysis. Most of the articles were published in 2023. We used three levels—students, teachers, and institutions—to analyses the articles. Our results suggested that assessment should be transformed to cultivate students’ self-regulated learning skills, responsible learning, and integrity. To successfully transform assessment in higher education, the review suggested that (i) teacher professional development activities for assessment, AI, and digital literacy should be provided, (ii) teachers’ beliefs about human and AI assessment should be strengthened, and (iii) teachers should be innovative and holistic in their teaching to reflect the assessment transformation. Educational institutions are recommended to review and rethink their assessment policies, as well as provide more inter-disciplinary programs and teaching. © The Author(s) 2024.",scopus
kolencik j;cug j;pera a ,"digitally interactive sensory experiences, generative artificial intelligence and simulation modeling software tools, and virtual team performance in immersive virtual workplaces",contemporary readings in law and social justice,2023,digitally interactive sensory experience; generative artificial intelligence; immersive virtual workplace; simulation modeling software; virtual team performance,"Despite the relevance of generative artificial intelligence and virtual communication and collaboration tools in immersive work environments, only limited research has been conducted on this topic. In this article, we cumulate previous research findings indicating that generative artificial intelligence and cognitive computing systems can configure augmented and virtual reality-based interpersonal communication, virtual team performance, and long-term talent pipelines. Throughout June 2023, we performed a quantitative literature review of the Web of Science, Scopus, and ProQuest databases, with search terms including “immersive virtual workplaces” + “digitally interactive sensory experiences,” “generative artificial intelligence and simulation modeling software tools,” and “virtual team performance.” As we inspected research published in 2023, only 172 articles satisfied the eligibility criteria, and 50 mainly empirical sources were selected. Data visualization tools: Dimensions (bibliometric mapping) and VOSviewer (layout algorithms). Reporting quality assessment tool: PRISMA. Methodological quality assessment tools include: AXIS, Dedoose, Distiller SR, and MMAT. © 2023, Addleton Academic Publishers. All rights reserved.",scopus
furze l;perkins m;roe j;macvaugh j ,the ai assessment scale (aias) in action: a pilot implementation of genai-supported assessment,australasian journal of educational technology,2024,academic integrity; Artificial Intelligence Assessment Scale; educational assessment; generative artificial intelligence (GenAI); higher education; higher education policy,"The rapid adoption of generative artificial intelligence (GenAI) technologies in higher education has raised concerns about academic integrity, assessment practices and student learning. Banning or blocking GenAI tools has proven ineffective, and punitive approaches ignore the potential benefits of these technologies. As a result, assessment reform has become a pressing topic in the GenAI era. This paper presents the findings of a pilot study conducted at British University Vietnam exploring the implementation of the Artificial Intelligence Assessment Scale (AIAS), a flexible framework for incorporating GenAI into educational assessments. The AIAS consists of five levels, ranging from “no AI” to “full AI, ” enabling educators to design assessments that focus on areas requiring human input and critical thinking. The pilot study results indicate a significant reduction in academic misconduct cases related to GenAI and enhanced student engagement with GenAI technology. The AIAS facilitated a shift in pedagogical practices, with faculty members incorporating GenAI tools into their modules and students producing innovative multimodal submissions. The findings suggest that the AIAS can support the effective integration of GenAI in higher education, promoting academic integrity while leveraging technology’s potential to enhance learning experiences. Implications for practice or policy: • Higher education institutions should adopt flexible frameworks like the AIAS to guide ethical integration of GenAI into assessment practices. • Educators should design assessments that leverage GenAI capabilities, while supporting critical thinking and human input. • Institutional policies related to GenAI should be developed in consultation with stakeholders and regularly updated to keep pace with technological advancements. • Policymakers should prioritise research funding into the impacts of GenAI on higher education to inform evidence-based practices. Articles published in the Australasian Journal of Educational Technology (AJET) are available under Creative Commons Attribution Non-Commercial No Derivatives Licence (CC BY-NC-ND 4.0). Authors retain copyright in their work and grant AJET right of first publication under CC BY-NC-ND 4.0.",scopus
kong s c;yang y;hou c ,examining teachers’ behavioural intention of using generative artificial intelligence tools for teaching and learning based on the extended technology acceptance model,computers and education: artificial intelligence,2024,Artificial intelligence literacy; Extended technology acceptance model; Generative artificial intelligence tools; Teacher development; Teaching and learning,"The rapid development of generative artificial intelligence (GenAI) tools has given rise to a growing discussion of the potential challenges and benefits that the use of these technologies may present in the field of education. This study examines the acceptance of the use of GenAI tools for teaching and learning among primary and secondary school teachers in Hong Kong. It uses an extension of the technology acceptance model (TAM) with a modified framework that incorporates two key factors: self-efficacy and subjective norm. Data were collected from a sample of 367 primary and secondary school teachers in Hong Kong using questionnaires containing items for six constructs: self-efficacy, perceived usefulness, perceived ease of use, attitude towards using, subjective norm, and behavioural intention. The results show that fostering teachers' self-efficacy, perceived usefulness, and attitude is essential for successfully increasing their behavioural intention to use GenAI tools. Subjective norm was also found to influence teachers' behavioural intention. To enhance teachers' effective use of GenAI for teaching, teacher development programmes should focus on equipping teachers with comprehensive conceptual knowledge and skills and an understanding of the application of these tools to teaching and learning. Policy support to create a conducive environment for the use of GenAI in teaching and learning would also be beneficial. The study has theoretical implications in its extension of the TAM model as well as implications for enhancing teachers’ AI literacy and developing pedagogies for the meaningful use of GenAI tools for teaching and learning in K–12 settings. © 2024 The Authors",scopus
knight s;dickson-deane c;heggart k;kitto k;kozanoğlu d c;maher d;naraya b;zarrabi f ,generative ai in the australian education system: an open data set of stakeholder recommendations and emerging analysis from a public inquiry,australasian journal of educational technology,2023,AI ethics; content analysis; edtech; participatory; policy analysis,"The launch of new tools in late 2022 heralded significant growth in attention to the impacts of generative AI (GenAI) in education. Claims of the potential impact on education are contested, but there are clear risks of inappropriate use particularly where GenAI aligns poorly with learning aims. In response, in mid-2023, the Australian Federal Government held an inquiry, calling for public submissions. This inquiry offers a lens onto the policy framing of GenAI in education and provides the object of investigation for this paper. We use the inquiry submissions, extracting structured claims from each. This extraction is provided as an open data set for further research, while this paper focuses on our analysis of the policy recommendations made. Implications for practice or policy • For practitioners, policymakers, and researchers. the paper provides an overview and synthesis of submission recommendations and their themes, by source type. • For respondents to the inquiry (sources), the paper supports reflection regarding synergies and gaps in recommendations, pointing to opportunity for collaboration and policy development. • For stakeholders with responsibility for aspects of policy delivery and/or those applying a critical lens to the inquiry and recommendation framing(s), the paper offers actionable insight. © Articles published in the Australasian Journal of Educational Technology (AJET) are available under Creative Commons Attribution Non-Commercial No Derivatives Licence (CC BY-NC-ND 4.0). Authors retain copyright in their work and grant AJET right of first publication under CC BY-NC-ND 4.0.",scopus
dengov v v;zvarikova k;balica r -ș ,"generative artificial intelligence and movement and behavior tracking tools, remote sensing and cognitive computing systems, and immersive audiovisual content in virtually simulated workspace environments",analysis and metaphysics,2023,cognitive computing; generative artificial intelligence; immersive audiovisual content; movement and behavior tracking tools; remote sensing; simulation; virtual; workspace,"The purpose of this study is to examine generative artificial intelligence and ambient scene detection tools deploying mobile biometric and sentiment data, realistic movement simulations, and real-time predictive analytics in virtual work environments. In this article, previous research findings were cumulated indicating that generative artificial intelligence and deep learning computer vision algorithms can shape predictive workflows, tailored job upskilling, and meaningful performance management. Throughout August 2023, a quantitative literature review of the Web of Science, Scopus, and ProQuest databases was performed, with search terms including “generative artificial intelligence and movement and behavior tracking tools” + “remote sensing and cognitive computing systems,” “immersive audiovisual content,” and “virtually simulated workspace environments.” As research published in 2023 was inspected, only 173 articles satisfied the eligibility criteria, and 50 mainly empirical sources were selected. Data visualization tools: Dimensions (bibliometric mapping) and VOSviewer (layout algorithms). Reporting quality assessment tool: PRISMA. Methodological quality assessment tools include: AXIS, Dedoose, MMAT, and SRDR. © 2023, Addleton Academic Publishers. All rights reserved.",scopus
selvarajan s;manoharan h;khadidos a o;khadidos a o;shankar a;maple c;singh s ,generative artificial intelligence and adversarial network for fraud detections in current evolutional systems,expert systems,2025,adversarial networks; content classification; generative artificial intelligence; patterns,"This article examines the impact of utilizing generative artificial intelligence optimizations in automating the content generation process. This instance involves the identification of fraudulent content, which is often characterized by dynamic patterns, in addition to content production. The generated contents are constrained, which limits their dimensionality. In this scenario, duplicated contents are eliminated from the automatic creations. Furthermore, the generated ratios are utilized to discover current patterns with minimized losses and errors, hence enhancing the accuracy of generative contents. Furthermore, while analysing the created patterns, we detect a significant discrepancy in lead durations, resulting in the generation of high scores for relevant information. In order to test the results using generative tools, the adversarial network codes are employed in four scenarios. These scenarios involve generating large patterns and reducing the dynamic patterns with an enhanced accuracy of 97% in the projected model. This is in contrast to the existing approach, which only provides a content accuracy of 77% after detecting fraud. © 2024 The Author(s). Expert Systems published by John Wiley & Sons Ltd.",scopus
wang s;yokoyama h m ,fight fire with fire: why not be more tolerant of chatgpt in academic writing?,ai and society,2024,,[No abstract available],scopus
frajt t;frajtova michalikova k;balica r -ș ,"productivity software tools, wearable augmented reality devices, and generative artificial intelligence and immersive remote collaboration systems in virtually simulated workspace environments",contemporary readings in law and social justice,2023,generative artificial intelligence; immersive remote collaboration system; productivity software tool; virtually simulated workspace environment; wearable augmented reality device,"This paper provides a systematic literature review of studies investigating generative artificial intelligence and immersive remote collaboration systems articulating governance decision-making processes, skilled labor attracting and training, and remote work collaboration. The analysis highlights that generative artificial intelligence and virtual reality immersive training tools can further business process performance, employee attraction and well-being, and extensive retraining programs in virtual work settings. Throughout May 2023, we performed a quantitative literature review of the Web of Science, Scopus, and ProQuest databases, with search terms including “virtually simulated workspace environments” + “productivity software tools,” “wearable augmented reality devices,” and “generative artificial intelligence and immersive remote collaboration systems.” As we inspected research published in 2023, only 172 articles satisfied the eligibility criteria, and 53 mainly empirical sources were selected. Data visualization tools: Dimensions (biblio-metric mapping) and VOSviewer (layout algorithms). Reporting quality assessment tool: PRISMA. Methodological quality assessment tools include: AMSTAR, Distiller SR, MMAT, and ROBIS. © 2023, Addleton Academic Publishers. All rights reserved.",scopus
